genero,longitud,latitud,altitudmapa
696,-116.366667,31.633056,306
696,-116.650167,31.63325,135
696,-116.634722,31.618056,269
696,-116.650167,31.63325,135
696,-116.634722,31.618056,269
822,-100.176972,23.806972,2008
822,-100.176972,23.806972,2008
965,-114.000278,27.151389,110
965,-114.000278,27.151389,110
1302,-99.268472,23.435194,547
1302,-99.268472,23.435194,547
1302,-99.268472,23.435194,547
1302,-99.268472,23.435194,547
1302,-100.381969,25.535225,887
1302,-100.381944,25.535278,887
1302,-100.381969,25.535225,887
1302,-100.381944,25.535278,887
191,-115.791667,32.208333,254
191,-113.869972,29.293461,336
191,-114.7,29.783333,684
191,-115.78,32.15,378
191,-115.85481,32.21713,824
191,-115.85481,32.21713,824
191,-115.516667,30.766639,1161
191,-114.736727,29.743957,536
191,-114.71234,29.72661,549
191,-115.85481,32.21713,824
191,-115.797051,32.218537,323
191,-114.71806,29.73278,558
191,-113.76132,28.62788,1095
191,-114.099972,29.266417,819
191,-114.825687,29.847593,674
191,-115.85481,32.21713,824
191,-114.733417,29.749778,602
191,-114.71806,29.73278,558
191,-115.797051,32.218537,323
191,-114.698222,29.730167,557
191,-114.71806,29.73278,558
191,-115.797051,32.218537,323
191,-114.71806,29.73278,558
191,-114.63694,29.65917,672
191,-113.75278,28.74333,443
191,-114.698222,29.730167,557
191,-114.793,29.823,702
191,-114.71806,29.73278,558
191,-115.85481,32.21713,824
191,-115.19397,30.43528,1338
191,-114.71806,29.73278,558
191,-115.85481,32.21713,824
191,-115.85481,32.21713,824
191,-115.19397,30.43528,1338
191,-115.85481,32.21713,824
191,-115.74583,32.56944,8
191,-114.698222,29.730167,557
191,-114.71806,29.73278,558
191,-115.85481,32.21713,824
191,-115.797051,32.218537,323
191,-115.85481,32.21713,824
191,-114.71806,29.73278,558
191,-113.75278,28.74333,443
191,-114.708333,29.725,550
191,-114.641667,29.775,658
191,-115.791667,32.208333,254
191,-113.675,28.791667,641
191,-114.641667,29.725,802
191,-112.25803,26.92654,792
191,-111.333306,25.716556,519
191,-111.2422,28.0585,8
191,-113.300139,29.233167,307
191,-113.37398,29.21559,146
191,-113.37398,29.21559,146
191,-113.37398,29.21559,146
191,-113.37398,29.21559,146
191,-113.3,29.233333,297
191,-113.37398,29.21559,146
191,-113.37398,29.21559,146
191,-113.37398,29.21559,146
191,-113.37398,29.21559,146
191,-115.791667,32.208333,254
191,-113.869972,29.293461,336
191,-114.7,29.783333,684
191,-115.78,32.15,378
191,-115.85481,32.21713,824
191,-115.85481,32.21713,824
191,-115.516667,30.766639,1161
191,-114.736727,29.743957,536
191,-114.71234,29.72661,549
191,-115.85481,32.21713,824
191,-115.797051,32.218537,323
191,-114.71806,29.73278,558
191,-113.76132,28.62788,1095
191,-114.099972,29.266417,819
191,-114.825687,29.847593,674
191,-115.85481,32.21713,824
191,-114.733417,29.749778,602
191,-114.71806,29.73278,558
191,-115.797051,32.218537,323
191,-114.698222,29.730167,557
191,-114.71806,29.73278,558
191,-115.797051,32.218537,323
191,-114.71806,29.73278,558
191,-114.63694,29.65917,672
191,-113.75278,28.74333,443
191,-114.698222,29.730167,557
191,-114.793,29.823,702
191,-114.71806,29.73278,558
191,-115.85481,32.21713,824
