División,clase,orden,familia,Hierba,Color,longitud,latitud,tipovegetacionmapa,altitudmapa
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Amarilla,-100,24,Matorral Desertico Microfilo,1750
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Blanco con lavanda palido,-100,24,Matorral Desertico Microfilo,1750
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Amarilla,-97.638333,18.529611,Bosque de Encino,2346
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Amarilla,-97.638333,18.529611,Bosque de Encino,2346
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Verde amarillento,-97.638333,18.529611,Bosque de Encino,2346
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Verde amarillento,-97.638333,18.529611,Bosque de Encino,2346
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Amarilla,-105.591667,30.791667,Matorral Desertico Rosetofilo,2114
Magnoliophyta,Liliopsida,Melanthiales,Melanthiaceae,Hierba,Amarilla,-105.583333,30.791667,Matorral Desertico Rosetofilo,1818
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Blanca,-111.041667,24.891667,Matorral Sarcocaule,306
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Blanca,-110.191667,23.708333,Matorral Sarcocaule,306
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-111.041667,24.891667,Matorral Sarcocaule,306
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-110.191667,23.708333,Matorral Sarcocaule,306
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-116.225,32.441667,Chaparral,1101
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-111.776211,26.252869,Matorral Sarcocaule,405
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-111.776211,26.252869,Matorral Sarcocaule,405
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-111.533333,25.85,Matorral Sarcocaule,695
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-111.525222,25.9835,Matorral Sarcocaule,1059
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-111.441145,26.006358,Matorral Sarcocaule,140
Magnoliophyta,Liliopsida,Najadales,Hydrocharitaceae,Hierba,Verdosa,-109.675,23.141667,Selva Baja Caducifolia,96
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.025,25.441667,Matorral Desertico Microfilo,1636
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.108333,25.108333,Matorral Desertico Microfilo,2082
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.025,25.441667,Matorral Desertico Microfilo,1636
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.75,24.9,Matorral Desertico Microfilo,1874
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.75,24.9,Matorral Desertico Microfilo,1874
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.75,24.9,Matorral Desertico Microfilo,1874
