ID,pais,estado,municipio,longitud,latitud,altitudmapa,zonamapa
124423,MEXICO,SONORA,GUAYMAS,-111.06,27.96,86,CONTINENTAL
25275,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.41,31.56,182,CONTINENTAL
109700,MEXICO,NUEVO LEON,ITURBIDE,-99.89,24.67,1457,CONTINENTAL
140131,MEXICO,HIDALGO,TULA DE ALLENDE,-99.36,20.08,2099,CONTINENTAL
118719,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.35,25.8,348,CONTINENTAL
94550,MEXICO,0,0,-112.08,27.22,165,ISLA
5585,MEXICO,PUEBLA,CHAPULCO,-97.38,18.68,2268,CONTINENTAL
96678,MEXICO,COAHUILA DE ZARAGOZA,MUZQUIZ,-102.07,28.48,981,CONTINENTAL
86305,MEXICO,PUEBLA,ZAPOTITLAN,-97.52,18.3,1563,CONTINENTAL
141287,MEXICO,SONORA,GUAYMAS,-111.04,28.02,110,CONTINENTAL
9187,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.19,26.78,395,CONTINENTAL
28331,MEXICO,DURANGO,MAPIMI,-104.5,26.3,1423,CONTINENTAL
4813,MEXICO,TAMAULIPAS,SAN NICOLAS,-98.8,24.55,624,CONTINENTAL
124428,MEXICO,SONORA,GUAYMAS,-111.06,27.95,17,CONTINENTAL
26102,MEXICO,NUEVO LEON,MARIN,-100.04,25.88,371,CONTINENTAL
30681,MEXICO,COAHUILA DE ZARAGOZA,CUATRO CIENEGAS,-102.13,26.83,854,CONTINENTAL
109506,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.99,27.68,714,CONTINENTAL
91205,MEXICO,PUEBLA,SANTIAGO MIAHUATLAN,-97.4,18.52,1872,CONTINENTAL
86172,MEXICO,DURANGO,MAPIMI,-104.24,26.07,1523,CONTINENTAL
12797,MEXICO,BAJA CALIFORNIA,ENSENADA,-115.68,31.07,1223,CONTINENTAL
26981,MEXICO,COAHUILA DE ZARAGOZA,SALTILLO,-101.21,25.44,1525,CONTINENTAL
127530,MEXICO,0,0,-115.26,28.29,38,ISLA
83584,MEXICO,0,0,-109.84,24.16,267,ISLA
78199,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.48,27.39,389,CONTINENTAL
27044,MEXICO,DURANGO,MAPIMI,-104.24,25.87,1653,CONTINENTAL
138459,MEXICO,BAJA CALIFORNIA,MEXICALI,-115.4,32.27,318,CONTINENTAL
87851,MEXICO,PUEBLA,ZAPOTITLAN,-97.53,18.31,1544,CONTINENTAL
91204,MEXICO,PUEBLA,ZAPOTITLAN,-97.44,18.4,1685,CONTINENTAL
72934,MEXICO,QUERETARO,SAN JOAQUIN,-99.51,21.03,986,CONTINENTAL
108637,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-113.04,27.61,1100,CONTINENTAL
15952,MEXICO,CHIHUAHUA,ALDAMA,-105.73,28.9,1269,CONTINENTAL
108052,MEXICO,COAHUILA DE ZARAGOZA,MUZQUIZ,-101.78,28.42,797,CONTINENTAL
21966,MEXICO,SONORA,BACERAC,-108.94,30.36,1036,CONTINENTAL
125281,MEXICO,SONORA,GUAYMAS,-111.06,27.96,86,CONTINENTAL
130464,MEXICO,PUEBLA,TEPEYAHUALCO DE CUAUHTEMOC,-97.85,18.79,2067,CONTINENTAL
26648,MEXICO,COAHUILA DE ZARAGOZA,CASTAÑOS,-101.36,26.34,1168,CONTINENTAL
130344,MEXICO,0,0,-112.33,29.04,291,ISLA
38909,MEXICO,DURANGO,TLAHUALILO,-103.74,26.66,1204,CONTINENTAL
111865,MEXICO,0,0,-110.68,25.03,141,ISLA
119494,MEXICO,SONORA,HUATABAMPO,-109.31,26.58,10,CONTINENTAL
123968,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.13,28.97,274,CONTINENTAL
125834,MEXICO,QUERETARO,PEÑAMILLER,-99.73,21.1,1776,CONTINENTAL
30816,MEXICO,COAHUILA DE ZARAGOZA,CASTAÑOS,-101.36,26.31,1712,CONTINENTAL
7215,MEXICO,PUEBLA,JUAN N. MENDEZ,-97.68,18.54,2323,CONTINENTAL
19744,MEXICO,SINALOA,NAVOLATO,-108.04,24.77,7,CONTINENTAL
39374,MEXICO,COAHUILA DE ZARAGOZA,CUATRO CIENEGAS,-102.15,26.96,756,CONTINENTAL
96004,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.01,28.41,18,CONTINENTAL
89815,MEXICO,PUEBLA,COXCATLAN,-97.15,18.26,1150,CONTINENTAL
101175,MEXICO,BAJA CALIFORNIA SUR,COMONDU,-111.68,26.09,653,CONTINENTAL
129086,MEXICO,COAHUILA DE ZARAGOZA,SIERRA MOJADA,-103.69,27.31,1479,CONTINENTAL
132100,MEXICO,DURANGO,LERDO,-103.95,25.7,2514,CONTINENTAL
104261,MEXICO,BAJA CALIFORNIA,MEXICALI,-115.35,31.48,627,CONTINENTAL
19901,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.43,25.99,82,CONTINENTAL
