ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
127762,Polygonaceae,Sidotheca,Arbusto,Blanca
115819,Euphorbiaceae,Euphorbia,Árbol,Roja
87619,Cactaceae,Myrtillocactus,Árbol,Verde
110983,Euphorbiaceae,Croton,Árbol,Blanca
129117,Rhamnaceae,Colubrina,Árbol,Blanca
91246,Cactaceae,Sclerocactus,Arbusto,Amarilla
101867,Acanthaceae,Justicia,Arbusto,Blanca
125673,Polygalaceae,Polygala,Arbusto,Blanca
98173,Apocynaceae,Metastelma,Arbusto,Blanca
106497,Lamiaceae,Scutellaria,Árbol,Morada
110047,Euphorbiaceae,Adelia,Árbol,Amarillenta
104052,Lamiaceae,Hedeoma,Árbol,Lila
99043,Apocynaceae,Telosiphonia,Arbusto,Blanca
110336,Euphorbiaceae,Cnidoscolus,Arbusto,Blanca
79031,Amaranthaceae,Amaranthus,Árbol,Verde
96046,Apocynaceae,Asclepias,Arbusto,Blanca
90347,Cactaceae,Opuntia,Arbusto,Anaranjadas
127862,Primulaceae,Samolus,Arbusto,Blanca
596,Arecaceae,Brahea,Árbol,Crema
9367,Cyperaceae,Schoenoplectus,Árbol,Verdosa
94267,Sapotaceae,Sideroxylon,Árbol,Lavanda
110645,Euphorbiaceae,Croton,Árbol,Blanca
7972,Cyperaceae,Cyperus,Árbol,Amarillenta
120517,Malvaceae,Malvella,Árbol,Blanca
133721,Anacardiaceae,Pistacia,Árbol,Blanca
120650,Malvaceae,Rhynchosida,Arbusto,Blanca
121400,Malvaceae,Sphaeralcea,Árbol,Anaranjadas
80050,Amaranthaceae,Atriplex,Arbusto,Blanca
1352,Asparagaceae,Agave,Árbol,Amarillenta
122551,Onagraceae,Oenothera,Árbol,Amarilla
80866,Amaranthaceae,Atriplex,Arbusto,Blanca
121569,Malvaceae,Sphaeralcea,Árbol,Anaranjadas
133334,Anacardiaceae,Malosma,Arbusto,Blanca
105462,Lamiaceae,Salvia,Árbol,Azul
99907,Acanthaceae,Blechum,Árbol,Morada
87698,Cactaceae,Myrtillocactus,Árbol,Verde
93092,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
78253,Aizoaceae,Sesuvium,Árbol,Blanco amarillenta
44421,Apiaceae,Bowlesia,Árbol,Morada
80991,Amaranthaceae,Atriplex,Arbusto,Blanca
132274,Rubiaceae,Hedyotis,Árbol,Blanca
96067,Apocynaceae,Asclepias,Arbusto,Blanca
75890,Boraginaceae,Tiquilia,Árbol,Rosa
82318,Amaranthaceae,Iresine,Arbusto,Blanca
139092,Solanaceae,Nicotiana,Árbol,Rosa
127373,Polygonaceae,Eriogonum,Árbol,Blanca
1117,Amaryllidaceae,Muilla,Árbol,Amarillenta
7422,Cyperaceae,Carex,Árbol,Amarillenta
117238,Passifloraceae,Passiflora,Arbusto,Ausente
3034,Asparagaceae,Agave,Árbol,Amarillenta
78941,Amaranthaceae,Amaranthus,Árbol,Blanco amarillenta
82743,Amaranthaceae,Tidestromia,Árbol,Verde
122776,Onagraceae,Oenothera ,Arbusto,Amarilla
119543,Malvaceae,Hibiscus,Arbusto,Blanca
91545,Cactaceae,Stenocereus,Árbol,Blanca
109164,Scrophulariaceae,Leucophyllum,Arbusto,Lila
11376,Potamogetonaceae,Zannichellia,Árbol,Verde
77005,Brassicaceae,Lesquerella,Árbol,Amarilla
78667,Amaranthaceae,Alternanthera,Árbol,Blanco amarillenta
2595,Asparagaceae,Agave,Árbol,Amarillenta
97516,Apocynaceae,Marsdenia,Arbusto,Blanca
126563,Polygonaceae,Eriogonum,Arbusto,Blanca
110172,Euphorbiaceae,Bernardia,Arbusto,Blanca
123189,Papaveraceae,Argemone,Arbusto,Amarilla
102944,Acanthaceae,Ruellia,Árbol,Blanca
101047,Acanthaceae,Holographis,Árbol,Amarilla
127212,Polygonaceae,Eriogonum,Arbusto,Blanca
79223,Amaranthaceae,Amaranthus,Árbol,Blanco amarillenta
111437,Euphorbiaceae,Croton,Árbol,Blanca
95558,Apocynaceae,Asclepias,Arbusto,Blanca
130635,Rosaceae,Cercocarpus,Arbusto,Blanca
135488,Rutaceae,Helietta,Árbol,Lavanda
83604,Cactaceae,Cylindropuntia,Arbusto,Amarilla
91541,Cactaceae,Stenocereus,Árbol,Blanca
129848,Rhamnaceae,Rhamnus,Arbusto,Blanca
9943,Iridaceae,Sisyrinchium,Árbol,Amarilla
1998,Asparagaceae,Agave,Árbol,Amarillenta
89762,Cactaceae,Opuntia,Arbusto,Amarilla
91383,Cactaceae,Stenocereus,Arbusto,Blanca
93068,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
78869,Amaranthaceae,Amaranthus,Árbol,Blanco amarillenta
135851,Rutaceae,Zanthoxylum,Arbusto,Lavanda
