ID,division,clase,orden,familia,genero,tipo,color,colector,numerocatalogo,numerocolecta,siglascoleccion
99960,Magnoliophyta,Magnoliopsida,Lamiales,1,139,Hierba ,7,J. L. León de la Luz,5464,7611,HCIB
137224,Magnoliophyta,Magnoliopsida,Solanales,84,136,Hierba ,16,Mahinda Martinez; Olivia Baltazar,NO DISPONIBLE,5243,QMEX
100852,Magnoliophyta,Magnoliopsida,Lamiales,1,252,Hierba ,15,GSH,NO DISPONIBLE,23868,GBH
105083,Magnoliophyta,Magnoliopsida,Lamiales,36,625,Arbusto,7,"Valiente Banuet, Alfonso",NO DISPONIBLE,824,MEXU
78315,Magnoliophyta,Magnoliopsida,Caryophyllales,3,647,Hierba ,17,J.J. Pérez Navarro,9182,836,HCIB
88308,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,L. Scheinvar; G. Olalde; M. Mena,NO DISPONIBLE,7570,MEXU
4163,Magnoliophyta,Liliopsida,Asparagales,15,365,Hierba ,7,J.J. Sánchez; D.A. Delgado Z.,19314,2012-173,USON
109957,Magnoliophyta,Magnoliopsida,Malpighiales,31,4,Hierba ,2,NO DISPONIBLE,2027217,NO DISPONIBLE,MO
86592,Magnoliophyta,Magnoliopsida,Caryophyllales,27,464,Arbusto,18,R. MORAN,84270,19374,SD
100241,Magnoliophyta,Magnoliopsida,Lamiales,1,139,Hierba ,15,O. Baltazar,NO APLICA,150,QMEX
84964,Magnoliophyta,Magnoliopsida,Caryophyllales,27,257,Arbusto,14,NO DISPONIBLE,dbsn199055,NO DISPONIBLE,ARIZ
131,Magnoliophyta,Liliopsida,Arales,11,428,Hierba ,19,I. L. Wiggins,176457,14742,TEX
81178,Magnoliophyta,Magnoliopsida,Caryophyllales,5,164,Hierba ,7,R. Moran,32638,19371,SD
86527,Magnoliophyta,Magnoliopsida,Caryophyllales,27,464,Arbusto,7,E. Y. DAWSON,439522,18523,RSA
75368,Magnoliophyta,Magnoliopsida,Boraginales,24,534,Hierba ,7,A. Búrquez; A. Quijada; T. Quintero,982876,92-91,MEXU
90780,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,NO DISPONIBLE,dbsn256273,NO DISPONIBLE,ARIZ
97362,Magnoliophyta,Magnoliopsida,Gentianales,9,465,Arbusto,7,NO DISPONIBLE,3607593,NO DISPONIBLE,MO
111223,Magnoliophyta,Magnoliopsida,Malpighiales,31,205,Hierba ,7,Edward W. Palmer,K000186027,1239,K
121871,Magnoliophyta,Magnoliopsida,Myrtales,38,210,Hierba ,17,"Chiang Cabrera, Fernando",NO DISPONIBLE,F-265,MEXU
2039,Magnoliophyta,Liliopsida,Asparagales,15,21,Hierba ,2,"Monsalvo-Reyes,  A.C.; Martínez, D.C.; Pérez, C.J.; Cruz, S.J.; Martínez, M.N.; De La Torre,  A. R.; Fuentes, M. V.",NO DISPONIBLE,CFP316,IZTA
80522,Magnoliophyta,Magnoliopsida,Caryophyllales,5,76,arbusto,18,"Jon Rebman, et al.",NO DISPONIBLE,8267,BCMEX
117260,Magnoliophyta,Magnoliopsida,Malpighiales,50,532,Arbusto,4,NO DISPONIBLE,dbsn178163,NO DISPONIBLE,ARIZ
133591,Magnoliophyta,Magnoliopsida,Sapindales,7,525,Árbol,10,E. Guízar N.,38585,Bc. 5,CHAP
124799,Magnoliophyta,Magnoliopsida,Plantaginales,54,538,Hierba ,6,"Johnston; Wendt, T. L.; Chiang F.",795789,11301,MEXU
141012,Magnoliophyta,Magnoliopsida,Urticales,41,299,Árbol,2,J. Rzedowski,100956,52941,XAL
115958,Magnoliophyta,Magnoliopsida,Malpighiales,31,293,arbusto,7,Darley F. Howe,60856,3747,SD
84446,Magnoliophyta,Magnoliopsida,Caryophyllales,27,211,Arbusto,1,Charles Harbison,41917,0,CAS-BOT
3103,Magnoliophyta,Liliopsida,Asparagales,15,21,Hierba ,2,NO PROPORCIONADO,E23-46,166,NO DISPONIBLE
135729,Magnoliophyta,Magnoliopsida,Sapindales,73,705,Arbusto,12,Rosario Ruiz de Esparza,737,467,INECOL-CRD
81262,Magnoliophyta,Magnoliopsida,Caryophyllales,5,164,Hierba ,7,J. RZEDOWSKI R.,NO DISPONIBLE,29172,ENCB
108018,Magnoliophyta,Magnoliopsida,Lamiales,47,146,Árbol,1,A. Arredondo G.,50170,NO DISPONIBLE,INIF
122691,Magnoliophyta,Magnoliopsida,Myrtales,45,514,Arbusto,1,NO DISPONIBLE,2327285,NO DISPONIBLE,MO
92649,Magnoliophyta,Magnoliopsida,Caryophyllales,42,104,Hierba ,1,R. Spellenberg; N. Douglas,8113,2167,USON
78758,Magnoliophyta,Magnoliopsida,Caryophyllales,5,32,Hierba ,7,A. Medel,27908,2012-154,HCIB
126343,Magnoliophyta,Magnoliopsida,Polygonales,60,175,Arbusto,7,Reid Moran,77088,17035,SD
79823,Magnoliophyta,Magnoliopsida,Caryophyllales,5,76,arbusto,18,R.S. Felger; Kalman Muller; Alexander Russell,NO DISPONIBLE,14924,ARIZ
95697,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Hierba ,7,I. Díaz V.; A. Valverde G.,341250,545,ARIZ
88040,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,C. Gómez H.,NO DISPONIBLE,49,CAS-BOT
92173,Magnoliophyta,Magnoliopsida,Caryophyllales,42,11,Hierba ,1,A. Richardson,NO DISPONIBLE,1433,ENCB
5622,Magnoliophyta,Liliopsida,Bromeliales,26,714,Hierba ,5,OTéllez,NO APLICA,NO APLICA,NO APLICA
78129,Magnoliophyta,Magnoliopsida,Caryophyllales,2,546,Arbusto,8,Mahinda Martinez; Olivia Baltazar,NO DISPONIBLE,4048,QMEX
111396,Magnoliophyta,Magnoliopsida,Malpighiales,31,205,arbusto,7,NO DISPONIBLE,dbsn263891,NO DISPONIBLE,ARIZ
79937,Magnoliophyta,Magnoliopsida,Caryophyllales,5,76,arbusto,18,José Luis León de la Luz,4337,7259,HCIB
99235,Magnoliophyta,Magnoliopsida,Gentianales,9,744,Árbol,7,J. Rebman et. al,NO DISPONIBLE,9646,BCMEX
81661,Magnoliophyta,Magnoliopsida,Caryophyllales,5,311,Hierba ,7,José Luis León de la Luz,6622,7806,HCIB
90707,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,3,P. Colunga,471,PC-60,ENCB
10711,Magnoliophyta,Liliopsida,Liliales,46,458,Hierba ,18,E. Carranza G.,95067,2253,IEB
3171,Magnoliophyta,Liliopsida,Asparagales,15,21,Hierba ,2,NO PROPORCIONADO,E25-24,228,NO DISPONIBLE
81720,Magnoliophyta,Magnoliopsida,Caryophyllales,5,325,Hierba ,7,FVictorino; ABarragán; MAyala; IRosas; OTéllez,90467,56,FCME
78079,Magnoliophyta,Magnoliopsida,Caryophyllales,2,546,Arbusto,8,NO PROPORCIONADO,NO APLICA,NO APLICA,NO DISPONIBLE
108315,Magnoliophyta,Magnoliopsida,Lamiales,47,195,Arbusto,1,NO DISPONIBLE,dbsn285369,NO DISPONIBLE,ARIZ
130388,Magnoliophyta,Magnoliopsida,Rosales,71,17,Hierba ,7,J. Rebman,9533,3314,HCIB
89990,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,NO DISPONIBLE,dbsn298714,NO DISPONIBLE,ARIZ
101615,Magnoliophyta,Magnoliopsida,Lamiales,1,406,Hierba ,7,A. Salinas T.,520646,5891,MEXU
137779,Magnoliophyta,Magnoliopsida,Solanales,84,224,Hierba ,16,S.L. Friedman,333580,041-96,ARIZ
134722,Magnoliophyta,Magnoliopsida,Sapindales,7,608,arbusto,7,B. Hinton; et al.,133771,24984,IEB
120635,Magnoliophyta,Magnoliopsida,Malvales,39,590,Hierba ,1,J. Rebman,11942,4653,HCIB
81764,Magnoliophyta,Magnoliopsida,Caryophyllales,5,325,Hierba ,7,Abel García Arévalo,1369,3393,CIIDIR
2592,Magnoliophyta,Liliopsida,Asparagales,15,21,Hierba ,2,NO PROPORCIONADO,E23-19,143,NO DISPONIBLE
85377,Magnoliophyta,Magnoliopsida,Caryophyllales,27,260,Arbusto,16,M. González,14627,4172,CIIDIR
136733,Magnoliophyta,Magnoliopsida,Solanales,58,393,Sufrútice,7,E. G. Marsh,46850,1565,TEX
6450,Magnoliophyta,Liliopsida,Commelinales,28,189,Hierba ,5,M. C. Johnston; T. L. Wendt; F. Chiang C.,110315,8749,LL
94642,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Hierba ,7,T.R. Van Devender; K.B. Moodie; S.F. Hale,199118,NO DISPONIBLE,ARIZ
85473,Magnoliophyta,Magnoliopsida,Caryophyllales,27,297,Arbusto,16,Reid Moran,305252,29031,RSA
2784,Magnoliophyta,Liliopsida,Asparagales,15,21,Hierba ,2,NO PROPORCIONADO,E17B-25,418,NO DISPONIBLE
72746,Magnoliophyta,Magnoliopsida,Boraginales,24,109,arbusto,7,P. Tenorio; C. Romero de T.,463241,8830,MEXU
9682,Magnoliophyta,Liliopsida,Cyperales,35,405,Hierba ,9,S. Zamudio R.; et al.,129642,10732,IEB
128406,Magnoliophyta,Magnoliopsida,Ranunculales,67,603,Hierba ,7,Denton,NO DISPONIBLE,1975,ENCB
105134,Magnoliophyta,Magnoliopsida,Lamiales,36,625,Arbusto,5,NO DISPONIBLE,dbsn267454,NO DISPONIBLE,ARIZ
75125,Magnoliophyta,Magnoliopsida,Boraginales,24,438,Hierba ,7,A. García M.; D. Frame; F. Mérida,424977,2303,MEXU
111445,Magnoliophyta,Magnoliopsida,Malpighiales,31,205,Hierba ,7,M. C. Johnston; F. Chiang C.; T. L. Wendt; D. Riskind,93153,11934,LL
92560,Magnoliophyta,Magnoliopsida,Caryophyllales,42,104,Arbusto,1,M. Martínez,NO APLICA,4587,QMEX
73359,Magnoliophyta,Magnoliopsida,Boraginales,24,207,Hierba ,7,R. Fernández N.,1018747,2013,MEXU
87692,Magnoliophyta,Magnoliopsida,Caryophyllales,27,498,Árbol,18,"Monsalvo-Reyes,  A.C.; Martínez, D.C.; Pérez, C.J.; Cruz, S.J.; Martínez, M.N.; De La Torre,  A. R.; Fuentes, M. V.",NO DISPONIBLE,CFP175,IZTA
49,Magnoliophyta,Liliopsida,Alismatales,4,259,Hierba ,7,NO DISPONIBLE,421477,NO DISPONIBLE,MEXU
44491,Magnoliophyta,Magnoliopsida,Apiales,8,225,Hierba ,7,R.V. Moran,165351,12840,ARIZ
102867,Magnoliophyta,Magnoliopsida,Lamiales,1,616,Hierba ,7,V. Serrano,NO APLICA,608,QMEX
133004,Magnoliophyta,Magnoliopsida,Sapindales,7,14,Árbol,7,T. S. Cochrane; B. A. Cochrane; G. J. Breckon; M. E. Breckon; S. Caughlan; C. Corcoran; G. M. Diggs; D. A. Kolterman; M. A. Raveret,103048,8509,TEX
