ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
66893,-0.3412358438734641,0.2817953117463922,-1.4989492280479104,17,646,-100.9,28.83,324.0,0,Asteraceae,Senecio,Árbol,Amarilla
93886,-0.7724260270697765,1.4583201905150271,-0.09439497885148657,62,584,-111.59,26.08,709.0,2,Portulacaceae,Portulaca,Árbol,Blanca
58123,1.2858398225843712,-0.5878163660266376,-0.2669861712461283,17,352,-101.3,25.05,2023.0,1,Asteraceae,Helianthus,Árbol,Amarilla
108860,1.8521252464712015,0.5443728206415879,2.2716139754796307,80,120,-100.18,20.77,2062.0,1,Scrophulariaceae,Buddleja,Árbol,Lila
129957,-0.7957647907461818,1.8152395966463584,0.09202331064727093,69,606,-112.61,27.48,1097.0,2,Rhamnaceae,Rhamnus,Árbol,Blanca
25100,0.03281020253335015,0.40256959729971237,0.9469947666346148,57,275,-103.91,26.69,1108.0,2,Poaceae,Eragrostis,Árbol,Hialino
101038,2.090877470819747,-1.1314469316037754,-0.8153418630906321,1,378,-99.73,20.84,2019.0,1,Acanthaceae,Holographis,Árbol,Amarilla
44300,1.8741483143699669,-1.8646751731755264,0.4082406442216083,8,66,-99.68,20.94,1937.0,1,Apiaceae,Arracacia,Árbol,Amarilla
18057,-0.8305402732870775,-0.25852721510909693,1.251221626031827,57,110,-109.61,23.54,127.0,2,Poaceae,Bouteloua,Árbol,Amarilla
67503,1.5112255099390164,0.3431631535399157,-1.4128848605332092,17,681,-100.33,23.59,1712.0,1,Asteraceae,Stevia,Árbol,Blanca
126449,-2.091740495186227,0.2305580375921542,1.1297144482535288,60,175,-115.12,29.6,313.0,2,Polygonaceae,Chorizanthe,Arbusto,Blanca
127493,-2.354932803606426,0.7446247213219827,0.5297209773262216,60,343,-115.78,30.32,83.0,2,Polygonaceae,Harfordia,Árbol,Blanca
99492,0.7033429477620647,0.7781512361113723,-0.14969558302638442,48,523,-98.69,24.56,745.0,1,Oxalidaceae,Oxalis,Árbol,Amarillenta
80567,-1.9688516065138473,-1.8589958140839433,-0.15015445227808488,5,76,-114.93,27.72,15.0,0,Amaranthaceae,Atriplex,Arbusto,Verde
28273,0.33848369810833495,0.6946652532932976,0.6383452507949499,57,375,-103.82,25.83,1282.0,2,Poaceae,Hilaria,Árbol,Amarilla
92933,0.04912263265442614,-0.20787688222678055,0.7544289567247012,42,216,-103.3,27.59,1236.0,2,Nyctaginaceae,Cyphomeris,Arbusto,Amarilla
69098,1.2396613561040633,0.45473926419409916,-1.513321958281998,17,708,-101.24,24.69,1665.0,1,Asteraceae,Thymophylla,Árbol,Amarilla
2350,-2.0910662235336286,-1.68962794687133,0.326852135763552,15,21,-115.59,28.31,108.0,0,Asparagaceae,Agave,Árbol,Amarillenta
54776,-2.2149905912777883,-0.784356759994355,-0.38638337407311,17,268,-115.0,31.08,279.0,0,Asteraceae,Encelia,Árbol,Blanca
18673,-1.2766269327428534,-0.15595494925900583,1.2655390025422888,57,113,-109.3,26.77,127.0,2,Poaceae,Brachiaria,Árbol,Hialino
95411,1.725705500080626,-1.8546040532892785,0.3674619744474347,9,71,-99.33,20.58,1613.0,1,Apocynaceae,Asclepias,Arbusto,Blanca
44227,-1.0496477268702016,-1.6950370678497757,0.24129495713604945,8,56,-113.61,28.76,1336.0,0,Apiaceae,Apiastrum,Árbol,Blanca
73301,0.9983460002650651,-0.8880496518283273,0.39523360240665667,24,194,-102.44,24.4,1755.0,1,Boraginaceae,Cordia,Arbusto,Blanca
75990,1.5442328765043924,0.5468271045897068,-1.43642962862441,24,716,-99.6,21.03,1136.0,1,Boraginaceae,Tiquilia,Árbol,Rosa
81965,-0.8505892123530129,-1.114175818503548,-0.9125534225386385,5,334,-111.06,25.46,432.0,0,Amaranthaceae,Guilleminea,Árbol,Blanca
33947,1.6064136781685416,1.0030246510617138,0.34185915109561,57,496,-100.74,22.41,1855.0,1,Poaceae,Muhlenbergia,Árbol,Amarilla
118728,-1.0978080619553634,-1.1279107219759987,1.0813969107488566,39,3,-110.26,24.31,26.0,0,Malvaceae,Abutilon,Arbusto,Blanca
43535,1.4980200522335199,1.7725162853827374,-0.6630072772655083,57,771,-99.91,21.71,1290.0,1,Poaceae,Zea,Árbol,Hialino
58041,-0.030881208693896586,-0.5307110215427959,-0.3876050639517931,17,352,-106.23,28.19,1496.0,0,Asteraceae,Helianthus,Árbol,Amarilla
114535,-2.2013796622875996,-0.2493233974253517,-0.05137023186421535,31,293,-113.56,31.92,295.0,0,Euphorbiaceae,Euphorbia,Árbol,Blanca
